"rank","lemma","translit","pos","gloss_en","combined_zipf","subs_fpm","forum_fpm","subs_zipf","forum_zipf","doc_dispersion_subs","doc_dispersion_forum","register_skew","is_proper","forms_collapsed"
"11","თუ","tu","conj","if, or","6.863","5247.69","10127.34","6.720","7.005","0.9265","0.6545","0","0","თუ,ტუ,თუა,თი,თუუ"
"12","მაგრამ","magram","conj","but","6.828","6773.07","6698.73","6.831","6.826","0.9118","0.5178","0","0","მაგრამ,მარა,მაგარმ,მაგარამ,მარამ,ამგრამ,მარაა,მაგრმა"
"13","თქმა","tkma","verb","to say, to tell","6.812","9619.21","4383.11","6.983","6.642","0.9412","0.4228","0","0","თქმა,ვთქვათ,თქვა,ვამბობ,მითხრა,ამბობენ,ამბობს,გითხრა"
"14","ვიცი","vitsi","verb","to know","6.783","7669.70","4806.23","6.885","6.682","0.9265","0.5125","0","0","ვიცი,იცით,იცი,იცის,ვიცოდი,ვიცით,იციან,იცოდე"
"15","კარგი","k'argi","adj","good, fine","6.772","7948.73","4410.79","6.900","6.645","0.9265","0.4365","0","0","კარგი,კაი,კარგია,საუკეთესო,უკეთესი,კარგ,კაია,უკეთესია"
"16","არა","ara","particle","no, not","6.769","9682.46","3572.80","6.986","6.553","0.9118","0.4004","0","0","არა,არას,არააააა,არაც,აარა,არაააააა"
"17","ჩემი","chemi","pron","my, mine","6.711","8596.09","3080.38","6.934","6.489","0.9265","0.3579","0","0","ჩემი,ჩემს,ჩემ,ჩემო,ჩემის,ჩემია,ჩემსას,ჩემიც"
"18","შენ","shen","pron","you (singular informal)","6.644","8049.18","2415.44","6.906","6.383","0.9412","0.2880","0","0","შენ,შენც,შენთვის,შენზე,შენთან,შენით,შენგან,შენა"
"19","კი","k'i","particle","yes, indeed","6.630","4213.40","4310.69","6.625","6.635","0.9265","0.4043","0","0","კი,კია,კიი,კიო,კის,კიიი,კიიიი,კეე"
"20","მინდა","minda","verb","I want","6.625","5110.03","3472.15","6.708","6.541","0.9118","0.4317","0","0","მინდა,გინდა,გინდათ,მინდოდა,გვინდა,უნდათ,უნდოდა,გინდოდა"
"21","ერთი","erti","num","one","6.601","4124.11","3854.02","6.615","6.586","0.8971","0.3934","0","0","ერთი,ერთ,ერთმა,ერთს,ერთია,ერთის,ერტი,ერთიც"
"22","აქ","ak","adv","here","6.553","5802.04","2196.18","6.764","6.342","0.9265","0.3315","0","0","აქ,აქაც,აქაა,აქაცაა,აექ,აქაო"
"23","ვერ","ver","particle","cannot, unable to","6.547","2926.13","4249.10","6.466","6.628","0.9118","0.4580","0","0","ვერ,ბერ,ევრ"
"24","ძალიან","dzalian","adv","very, much","6.528","3063.79","3717.26","6.486","6.570","0.8971","0.3937","0","0","ძალიან,ძაან,ძააან,ძან,ძალიანაც,ზალიან,ძაანაც,ზაან"
"25","რაც","rats","pron","what, which, that","6.528","2985.66","3803.42","6.475","6.580","0.8824","0.3781","0","0","რაც,რასაც,რამაც,რაცაა,აც,რეებიც,რაცა,რასთანაც"
"26","ყველა","q'vela","pron","all, every","6.520","3837.64","2851.77","6.584","6.455","0.9118","0.3589","0","0","ყველა,ყველას,ყველამ,ყველანი,ყველასთვის,ყველასათვის,ყველასთან,ყველასგან"
"27","ახლა","akhla","adv","now","6.508","3778.11","2747.82","6.577","6.439","0.9265","0.3598","0","0","ეხლა,ახლა,ახლაც,ეხლაც,ეხა,ეხლაა,ეხაც,ახლაა"
"28","ასე","ase","adv","so, thus, like this","6.505","4689.62","2180.05","6.671","6.338","0.9265","0.3016","0","0","ასე,ესე,ასეა,ასეც,ასედაც,ასეო,ასეაო,ასეე"
"29","შეძლება","shedzleba","verb","to be able, to can","6.480","2855.44","3195.69","6.456","6.505","0.9265","0.3826","0","0","შეიძლება,შეილება,შეიძლებოდა,შეძლო,შეძლებს,შევძლებ,შეძლებ,შეეძლო"
"30","შემიძლია","shemidzlia","verb","I can","6.456","4737.99","1721.73","6.676","6.236","0.8971","0.2700","0","0","შეგიძლია,შეგიძლიათ,შეუძლია,შემიძლია,შეგვიძლია,შეუძლიათ,შემეძლო,შემეძლოს"
"31","ეგ","eg","pron","that (colloquial), that one","6.454","998.94","8111.28","6.000","6.909","0.5147","0.5083","0","0","ეგ,მაგ,მაგის,მაგას,მაგაზე,ეგეც,ეგაა,მაგათ"
"32","თქვენ","tkven","pron","you (plural or formal singular)","6.441","8432.39","904.45","6.926","5.956","0.9118","0.1754","0","0","თქვენ,თქვენც,თქვენთვის,თქვენთან,თქვე,თქვენგან,თქვენზე,თქვენთანაც"
"33","როგორ","rogor","adv","how, as","6.437","3603.25","2077.20","6.557","6.317","0.9118","0.3388","0","0","როგორ,როგორაა,როგორა,როგრო,როგრ,როგო,როგორო,როგორააა"
"34","რომელიც","romelits","pron","which, who, that","6.430","2152.28","3363.99","6.333","6.527","0.8824","0.3237","0","0","რომელიც,რომელსაც,რომლებიც,რომლის,რომელმაც,რომლებსაც,რომელშიც,რომელთაც"
"35","ჩვენ","chven","pron","we, us","6.428","6631.69","1081.00","6.822","6.034","0.9265","0.1629","0","0","ჩვენ,ჩვენთან,ჩვენც,ჩვენთვის,ჩვენზე,ჩვენმა,ჩვენში,ჩვენგან"
"36","წელი","ts'eli","noun","year, waist","6.413","1724.43","3887.94","6.237","6.590","0.8676","0.3436","0","0","წლის,წელს,წელი,წ,წელია,წლების,წლამდე,წლებში"
"37","მოსვლა","mosvla","verb","to come, to arrive","6.412","5433.71","1228.39","6.735","6.089","0.9265","0.2194","0","0","მოდი,მოდის,მოვა,მოვიდა,მოდით,მომივიდა,მოსულა,მოვედი"
"38","როგორც","rogorts","conj","as, like","6.410","2874.04","2295.36","6.458","6.361","0.9118","0.3088","0","0","როგორც,როგორცაა,როგოც,როგრც,როგროც,რავარც,გორც,როოგრც"
"39","ან","an","conj","or","6.405","1527.24","4223.61","6.184","6.626","0.9118","0.4450","0","0","ან,ანი"
"40","დრო","dro","noun","time","6.402","2379.23","2682.00","6.376","6.428","0.9265","0.3217","0","0","დროს,დრო,დროის,დროზე,დროა,დროში,დროსაც,დროთა"
"41","ყველაფერი","q'velaperi","pron","everything, all","6.395","3499.08","1760.60","6.544","6.246","0.9118","0.2715","0","0","ყველაფერი,ყველაფერს,ყველაფრის,ყველაფერზე,ყველაფერში,ყველაფერ,ყველაფრით,ყველაფერია"
"42","რამე","rame","pron","something, anything","6.385","2040.66","2886.60","6.310","6.460","0.8529","0.3991","0","0","რამე,რამ,რამეს,რამეა,რამეზე,რამეში,რამეები,რამით"
"43","გაკეთება","gak'eteba","verb","to do, to make","6.384","3275.85","1785.89","6.515","6.252","0.8971","0.2491","0","0","გაკეთება,გავაკეთე,გავაკეთო,გააკეთა,გააკეთო,გააკეთე,გავიკეთე,გაკეთდეს"
"44","დიდი","didi","adj","big, large, great","6.375","2185.76","2571.27","6.340","6.410","0.9118","0.3248","0","0","დიდი,დიდ,დიდია,უდიდესი,უდიდეს,დიდმა,დიდს,დიდის"
"45","შენი","sheni","pron","your, yours","6.374","4425.47","1263.78","6.646","6.102","0.9118","0.1969","0","0","შენი,შენს,შენია,შენსას,შენიც,შენსა,შენის,შენისა"
"46","მისი","misi","pron","his, her, its","6.373","3707.42","1501.19","6.569","6.176","0.9118","0.1842","0","0","მისი,მის,მისივე,მისისა,მისა,მისნი,მისდა,მისას"
"47","კარგად","k'argad","adv","well, good","6.359","4689.62","1114.91","6.671","6.047","0.8971","0.2056","0","0","კარგად,უკეთ,უკეთესად,კარგადაა,კარგათ,კარგადაც,გად,უკეთესადაც"
"48","ისე","ise","adv","so, thus, like that","6.340","1884.41","2538.46","6.275","6.405","0.8971","0.3414","0","0","ისე,ისეა,ისეო,სიე,ისთე"
"49","კიდევ","k'idev","adv","still, yet, again","6.339","1810.00","2629.94","6.258","6.420","0.9118","0.3463","0","0","კიდევ,კიდე,კიდო,კდიე,კიდეა,კდიევ,დევ,კიდ"
"50","სხვა","skhva","pron","other, different","6.337","1605.37","2942.33","6.206","6.469","0.8824","0.3537","0","0","სხვა,სხვას,სხვები,სხვისი,სხვათა,სხვებს,სხვის,სხვაა"
"51","ნახვა","nakhva","verb","to see, to watch, to view","6.334","2260.17","2055.39","6.354","6.313","0.8971","0.3267","0","0","ვნახე,ნახე,ვნახოთ,ნახეთ,მინახავს,ნახავ,ვნახო,ვნახავ"
"52","რატომ","rat'om","adv","why","6.326","3346.54","1341.87","6.525","6.128","0.9265","0.2341","0","0","რატომ,რატო,რატოა,რატომაა,რატომო,რატოო,რატ,რატომა"
"53","არაფერი","araperi","pron","nothing","6.299","2349.46","1684.88","6.371","6.227","0.8971","0.2724","0","0","არაფერი,არაფერს,არაფერია,არაფრის,არაფერ,არაფრით,არაფერში,არაფერზე"
"54","უფრო","upro","adv","more, rather","6.294","1564.45","2480.16","6.194","6.394","0.8824","0.3034","0","0","უფრო,უფროა,უპრო,უფო,უფორ,უმფრო,უფრ,უფრი"
"55","თავი","tavi","noun","self, head, chapter","6.288","2375.50","1586.80","6.376","6.201","0.9265","0.2331","0","0","თავი,თავს,თავზე,თავში,თავით,თავთან,თავები,თავსაც"
"56","მიღება","migheba","verb","reception, obtaining, admission","6.287","2494.56","1501.74","6.397","6.177","0.8971","0.1994","0","0","მიღება,მიიღო,მივიღე,იღებენ,მიიღებს,ვიღებ,იღებ,მიიღებ"
"57","წასვლა","ts'asvla","verb","to go, to leave, to depart","6.282","4574.29","801.24","6.660","5.904","0.9412","0.1538","0","0","წავიდა,წადი,წავა,წასვლა,წავედი,წავალ,წავიდეთ,წავიდე"
"58","ადამიანი","adamiani","noun","human, person, man","6.277","1676.06","2136.97","6.224","6.330","0.8676","0.2158","0","0","ადამიანი,ადამიანს,ადამიანის,ადამიანები,ადამიანმა,ადამიანებს,ადამიანების,ადამიანია"
"59","მხოლოდ","mkholod","adv","only","6.261","2319.70","1430.79","6.365","6.156","0.9118","0.2247","0","0","მხოლოდ,მხოლო,მხოლოს,ხოლოდ,მხოლდო,მხლოდ,ხოლოთ,მხოლდ"
"60","უბრალოდ","ubralod","adv","simply, just, merely","6.257","2714.07","1205.66","6.434","6.081","0.8676","0.2184","0","0","უბრალოდ,უბრალოთ,უბრალდო,უბრლაოდ,უბრაოდ,უბრლოდ,უფრალოდ,უბარლოდ"
"61","ფიქრი","pikri","verb","to think, to ponder","6.252","2911.25","1098.41","6.464","6.041","0.9118","0.1857","0","0","ვფიქრობ,ფიქრობთ,ვიფიქრე,ფიქრობ,ფიქრობს,ვფიქრობდი,იფიქრე,ფიქრობენ"
"62","სად","sad","adv","where","6.251","2635.94","1202.73","6.421","6.080","0.8971","0.2457","0","0","სად,სადაა,სადა,სადააა"
"63","ვინ","vin","pron","who","6.250","2449.91","1289.07","6.389","6.110","0.8824","0.2361","0","0","ვინ,ვის,ვისი,ვინაა,ვისთან,ვისთანაც,ვისთვის,ვისგან"
"64","კაცი","k'atsi","noun","man, person","6.247","2215.53","1410.25","6.345","6.149","0.8971","0.2197","0","0","კაცი,კაცო,კაცს,კაცმა,კაცის,კაცია,კაცები,კაცზე"
"65","შემდეგ","shemdeg","adv","after, then","6.242","2033.22","1502.10","6.308","6.177","0.9118","0.2252","0","0","შემდეგ,შემდეგაც,სემდეგ,შემდე,შემდეგადაც,შემდეგო,შედეგ,შენდეგ"
"66","თქვენი","tkveni","pron","your, yours","6.237","3807.88","783.27","6.581","5.894","0.8824","0.1487","0","0","თქვენი,თქვენს,ტქვენი,თქვენმა,თქვენის,თქვენო,თქვენია,თქვნი"
"67","უკვე","uk've","adv","already","6.199","1307.74","1909.09","6.117","6.281","0.8676","0.2970","0","0","უკვე,უვე,უკვეო,უკვეე,უკვა,უკე,უვკე,უყვე"
"68","რაღაც","raghats","pron","something, a certain thing","6.196","1486.32","1656.83","6.172","6.219","0.8824","0.2738","0","0","რაღაც,რაღაცეებს,რაგაც,რაღაცის,რაღაცით,რაღაცებს,რარაც,რაღ"
"69","მისვლა","misvla","verb","to arrive, to come, to go (to a place)","6.195","2040.66","1204.19","6.310","6.081","0.8824","0.2064","0","0","მიდის,მიდი,მივედი,მივდივარ,მიდიხარ,მისვლა,მივიდე,მიხვიდე"
"70","თამაში","t'amashi","noun","game, play","6.191","745.95","3235.84","5.873","6.510","0.6176","0.1819","0","0","თამაში,თამაშის,თამაშს,თამაშების,თამაშები,თამაშში,თამაშია,თამაშებს"
"71","მჭირდება","mch'irdeba","verb","to need","6.182","1947.65","1185.49","6.290","6.074","0.8676","0.2220","0","0","მჭირდება,სჭირდება,ჭირდება,გჭირდება,გვჭირდება,დაგჭირდება,დამჭირდა,დამჭირდება"
"72","არც","arts","conj","neither, nor","6.178","1144.04","1984.44","6.058","6.298","0.8235","0.2617","0","0","არც,არცაა,არცა,რც"
"73","ხალხი","khalkhi","noun","people, folk","6.178","1467.72","1546.65","6.167","6.189","0.8382","0.2430","0","0","ხალხი,ხალხს,ხალხის,ხალხო,ხალხმა,ხალხია,ხალხნო,ხალხთან"
"74","ჩვენი","chveni","pron","our, ours","6.177","2665.70","847.25","6.426","5.928","0.8971","0.1366","0","0","ჩვენი,ჩვენს,ჩვენების,ჩვენები,ჩვენია,ჩვენებს,ჩვენო,ჩვენებმა"
"75","მერე","mere","adv","then, afterwards, later","6.174","723.63","3086.06","5.860","6.489","0.6618","0.3603","0","0","მერე,მერეც,მერ,მერეა,მერეო,ერე,მერეე,ემრე"
"76","ცხოვრება","tskhovreba","noun","life, living","6.169","2022.06","1075.50","6.306","6.032","0.8676","0.1185","0","0","ცხოვრება,ცხოვრებაში,ცხოვრების,ცხოვრებას,ცხოვრებით,ცხოვრებაზე,ცხოვრებაა,ცხოვრებიდან"
"77","კეთება","k'eteba","verb","to do, to make","6.167","1899.29","1135.26","6.279","6.055","0.8824","0.1872","0","0","აკეთებს,აკეთებენ,ვაკეთებ,კეთდება,აკეთებ,კეთება,აკეთებდა,ვაკეთებთ"
"78","დღე","dghe","noun","day","6.166","1389.59","1547.57","6.143","6.190","0.8676","0.2193","0","0","დღე,დღეში,დღის,დღეა,დღეებში,დღით,დღეები,დღეზე"
"79","ბევრი","bevri","adj","many, much, a lot","6.146","1054.75","1854.09","6.023","6.268","0.8676","0.2354","0","0","ბევრი,მეტია,ბევრია,ბევრნი,ბევრიც,ბერვი,ბეევრი,ბევრში"
"80","თხოვნა","tkhovna","verb","to ask, to request","6.140","2918.69","652.01","6.465","5.814","0.8824","0.1512","0","0","გთხოვთ,გთხოვ,ვთხოვ,ითხოვს,ითხოვენ,მთხოვს,მთხოვა,ვითხოვ"
"81","როცა","rotsa","adv","when","6.138","1475.16","1282.47","6.169","6.108","0.8382","0.2028","0","0","როცა,როცაა,როც"
"82","ასეთი","aseti","pron","such, like this","6.135","1188.68","1567.37","6.075","6.195","0.8824","0.2586","0","0","ასეთი,ასეთ,ესეთი,ასეთია,ესეთ,ასეთები,ასეთს,ასეტი"
"83","მაინც","maints","particle","still","6.134","853.84","2168.50","5.931","6.336","0.8529","0.3186","0","0","მაინც,ქემაინც,მაინცაა,მაინ,მიანც,მაიც,მანც,მაინცა"
"84","მაშინ","mashin","adv","then, at that time","6.128","1516.08","1187.51","6.181","6.075","0.8676","0.2065","0","0","მაშინ,მაშინაც,მასინ,მაში,მაშინაა,მაშვინ,მაშნ,მაშინო"
"85","გაგება","gageba","verb","to understand, to comprehend, to hear","6.117","1370.98","1249.29","6.137","6.097","0.8676","0.2321","0","0","გავიგე,გამიგია,გაიგებ,გაიგო,გაიგე,გავიგო,ვიგებ,გაგება"
"86","დღეს","dghes","adv","today","6.116","1516.08","1126.83","6.181","6.052","0.8824","0.1990","0","0","დღეს,დღესაც,დგეს,დღესაა,დრესაც,დღესო"
"87","ხომ","khom","particle","right?, isn't it? (tag question)","6.112","1292.85","1297.51","6.112","6.113","0.7941","0.2515","0","0","ხომ,ჰომ,ხომაა,ხომა,ხოომ"
"88","ნუ","nu","particle","don't (prohibitive); well, um (filler)","6.107","1374.70","1191.91","6.138","6.076","0.8382","0.2165","0","0","ნუ,ნუუ,ნუუუ"
"89","დაწყება","dats'q'eba","verb","to start, to begin","6.106","1013.82","1605.13","6.006","6.206","0.8529","0.2440","0","0","დაიწყო,იწყება,დავიწყე,იწყებს,დაიწყება,დაიწყეს,დაიწყე,დაწყება"
"90","ჯერ","jer","adv","yet, still, times (as in ""three times"")","6.104","1039.86","1551.42","6.017","6.191","0.8529","0.2585","0","0","ჯერ,ჯერო,კერ,ჟერ,ჯეერ"
"91","სახლი","sakhli","noun","house, home","6.101","1973.70","806.37","6.295","5.907","0.8824","0.1299","0","0","სახლში,სახლის,სახლი,სახლიდან,სახლს,სახლები,სახში,სახლებში"
"92","იქ","ik","adv","there","6.100","1769.07","896.02","6.248","5.952","0.9118","0.1832","0","0","იქ,იქაც,იქაა,იკ,იქო,აიქ"
"93","ახალი","akhali","adj","new, fresh","6.093","902.21","1701.75","5.955","6.231","0.7647","0.2499","0","0","ახალი,ახალ,ახალს,ახალია,უახლესი,ახლის,ახლები,ახალმა"
"94","პირველი","p'irveli","num","first","6.087","1017.54","1466.35","6.008","6.166","0.7941","0.2182","0","0","პირველი,პირველ,პირველზე,პირველს,პირველმა,პირველია,უპირველეს,პირველის"
"95","ერთად","ertad","adv","together","6.086","2115.07","703.16","6.325","5.847","0.9118","0.1450","0","0","ერთად,ერტად,ერ,ერთადაც,ერთადაა,თად,ერთადო,ერთან"
"96","კითხვა","k'itkhva","verb","question, reading","6.079","1114.27","1288.52","6.047","6.110","0.7647","0.1601","0","0","ვკითხულობ,იკითხე,ვკითხე,კითხულობს,ვიკითხე,კითხე,კითხულობ,ვიკითხავ"
"97","ვინც","vints","pron","who, whoever","6.075","946.85","1494.40","5.976","6.174","0.8676","0.2673","0","0","ვინც,ვისაც,ვინცაა,ვისთვისაც,ვისზეც,ვიზეც,ვინაც,ვინებიც"
"98","ორი","ori","num","two","6.070","1348.66","1021.78","6.130","6.009","0.8529","0.1920","0","0","ორი,ორ,ორს,ორმა,ორის,ორიდან,ორად,ორზე"
"99","მუშაობა","mushaoba","verb","to work","6.066","1080.79","1255.16","6.034","6.099","0.7647","0.1821","0","0","მუშაობს,მუშაობა,იმუშავებს,მუშაობდა,ვმუშაობ,მუშაობენ,მუშაობის,მუშაობას"
"100","ვინმე","vinme","pron","someone, somebody, anyone","6.064","824.08","1626.95","5.916","6.211","0.8382","0.3361","0","0","ვინმე,ვინმეს,ვინმემ,ვინმესთან,ვინმეზე,ვინმეა,ვინმესთვის,ვინმესგან"
"101","თავისი","tavisi","pron","his own, her own, its own, their own","6.059","917.09","1429.14","5.962","6.155","0.8235","0.2175","0","0","თავის,თავისი,თავიანთი,თავიანთ,თავისას,თავისივე,ტავის,ტავისი"
"102","ხელი","kheli","noun","hand, arm","6.048","1117.99","1115.46","6.048","6.047","0.8971","0.1790","0","0","ხელი,ხელს,ხელში,ხელით,ხელის,ხელები,ხელზე,ხელების"
"103","საქმე","sakme","noun","case, business, matter","6.045","1281.69","958.17","6.108","5.981","0.8676","0.1729","0","0","საქმე,საქმეს,საქმეში,საქმის,საქმეა,საქმეზე,საქმეები,საქმეც"
"104","მგონია","mgonia","verb","to think, to seem","6.044","1140.32","1075.13","6.057","6.031","0.7059","0.2025","0","0","მგონია,მეგონა,გგონია,გონია,გგონიათ,გეგონება,ჰგონია,ეგონა"
"105","აი","ai","particle","here, there, look (presentative)","6.043","850.12","1433.90","5.929","6.157","0.6912","0.2437","0","0","აი,აიი,აიიი"
"106","მადლობა","madloba","noun","thanks, thank you","6.037","1352.38","878.24","6.131","5.944","0.8088","0.1988","0","0","მადლობა,მადლობას,მადლობის,მადლობაა,მადლობები,მადლობააა,ამდლობა,მადლობაააა"
"107","დახმარება","dakhmareba","verb","to help, to assist","6.034","1348.66","867.97","6.130","5.939","0.8676","0.1488","0","0","დამეხმარეთ,დამეხმაროთ,ეხმარება,დამეხმარებით,დაგეხმარება,დამეხმარება,დაგეხმარებათ,დაგეხმარები"
"108","ადგილი","adgili","noun","place, spot, seat","6.032","1147.76","1008.58","6.060","6.004","0.8824","0.1732","0","0","ადგილი,ადგილას,ადგილზე,ადგილს,ადგილები,ადგილია,ადგილებში,ადგილის"
"109","არსებობა","arseboba","verb","to exist","6.031","965.46","1195.94","5.985","6.078","0.7500","0.1780","0","0","არსებობს,არსებობდა,არსებობა,არსებობენ,არსებობდეს,იარსებებს,არსებობსო,იარსებებდა"
"110","აღარ","aghar","particle","no longer, not anymore","6.017","883.61","1223.63","5.946","6.088","0.7941","0.2154","0","0","აღარ,ღარ,აღარაა,აგარ,არარ,აღ,აღარა,აღრა"
"111","ცდა","ts'da","verb","to try, to attempt","6.013","1170.08","907.20","6.068","5.958","0.8676","0.1671","0","0","ვცადე,ვცდილობ,ცდილობს,ცადე,სცადე,ვცდი,ცდილობენ,ვეცდები"
"112","მომწონს","momts'ons","verb","I like","6.012","1196.12","881.72","6.078","5.945","0.8529","0.1421","0","0","მომწონს,მომეწონა,მოგწონს,მოსწონს,მომწონდა,მოგწონთ,მოეწონა,მოგეწონა"
"113","გამოსვლა","gamosvla","verb","exit, appearance, speech","6.010","857.56","1220.14","5.933","6.086","0.7941","0.2049","0","0","გამოდის,გამოვა,გამოვიდა,გამოვიდეს,გამომდის,გამოსვლა,გამომივიდა,გამოდიოდა"
"114","ბიჭი","bich'i","noun","boy","6.008","1966.26","526.61","6.294","5.721","0.8235","0.1075","0","0","ბიჭი,ბიჭო,ბიჭები,ბიჭებო,ბიჭს,ბიჭებს,ბიჭია,ბიჭის"
"115","ცოტა","tsot'a","adj","a little, a few, some","6.005","853.84","1197.78","5.931","6.078","0.8529","0.2127","0","0","ცოტა,ცოტანი,ცოტას,ცოტაა,ცოტაც,ცოტ,ცოტაზე,წოტა"
"116","მეგობარი","megobari","noun","friend","6.002","1627.69","620.48","6.212","5.793","0.8088","0.1422","0","0","მეგობრებო,მეგობარო,მეგობარი,მეგობრები,მეგობარს,მეგობრის,მეგობარმა,მეგობრებს"
"117","მყავს","mqavs","verb","to have (animate object)","5.998","954.29","1036.08","5.980","6.015","0.7500","0.1682","0","0","მყავს,ყავს,გვყავს,ჰყავს,გყავს,ყავთ,მყავდა,ყავდა"
"118","მთელი","mteli","adj","whole, entire, all","5.992","1147.76","838.82","6.060","5.924","0.8824","0.1622","0","0","მთელი,მთელ,მთელს,მთელმა,მტელი,მთლი,მელი,მტელ"
"119","მოხდენა","mokhdena","verb","to happen, to occur, to take place","5.992","1367.26","703.34","6.136","5.847","0.8676","0.1312","0","0","მოხდა,მოხდება,მოხდეს,ახდენს,უხდება,მოახდინა,მომხდარა,ხდებოდეს"
"120","მეტი","met'i","adj","more","5.991","701.30","1370.29","5.846","6.137","0.7941","0.2289","0","0","მეტი,მეტს,მეტ,მეტის,მეტსაც,მეტმა,მეტნი,მეტზე"
"121","ფული","puli","noun","money","5.988","928.25","1021.05","5.968","6.009","0.6029","0.1426","0","0","ფული,ფულს,ფულის,ფულით,ფულზე,ფულიც,ფულია,ფულსაც"
"122","მიცემა","mitsema","verb","to give","5.983","1188.68","779.05","6.075","5.892","0.8971","0.1529","0","0","აძლევს,მივეცი,მისცეს,მისცა,მიეცი,გვაძლევს,გაძლევს,აძლევენ"
"123","სულ","sul","adv","totally, completely, all in all","5.980","675.26","1347.92","5.829","6.130","0.5882","0.2411","0","0","სულ,სუ,სუულ,სულაა,სუუულ"
"124","ყველაზე","qvelaze","adv","most (superlative)","5.976","697.58","1280.82","5.844","6.107","0.8088","0.2142","0","0","ყველაზე,კველაზე,ველაზე,ყვეალზე,ყელაზე,ყველაძე,ყველაზ,ყველაე"
"125","დედა","deda","noun","mother","5.970","1363.54","637.71","6.135","5.805","0.7353","0.1176","0","0","დედა,დედას,დედის,დედაც,დედებს,დედები,დედამ,დედაზე"
"126","ღმერთი","ghmerti","noun","God","5.967","2163.44","396.63","6.335","5.598","0.8529","0.0640","0","0","ღმერთი,ღმერთმა,ღმერთო,ღმერთს,ღმერთის,ღვთის,ღმერთები,ღმერთების"
"127","პატარა","p'at'ara","adj","small, little","5.966","1415.63","603.79","6.151","5.781","0.8529","0.1226","0","0","პატარა,პატარაა,პატარები,პატარას,პატარ,პატარებს,პატარაზე,პატარების"
"128","ხდომა","khdoma","verb","to happen, to occur","5.965","950.57","894.18","5.978","5.951","0.7794","0.1720","0","0","ხდება,ხდებოდა"
"129","მეორე","meore","num","second, other","5.956","678.98","1202.18","5.832","6.080","0.7794","0.2141","0","0","მეორე,მეორეს,მეორეც,მეორეზე,მეორეში,მეორემ,მეორის,მეორეა"
"130","ალბათ","albat","adv","probably","5.954","675.26","1196.13","5.829","6.078","0.7794","0.2259","0","0","ალბათ,ალბად,ალბატ,ალაბთ,ალაბათ,ლაბათ,ლბათ"
"131","შემთხვევა","shemtkhveva","noun","case, instance, event","5.953","723.63","1113.08","5.860","6.047","0.7941","0.1732","0","0","შემთხვევაში,შემთხვევა,შემთხვევები,შემთხვევაშიც,შემთხვევებში,შემთხვევაა,შემთხვევისთვის,შემტხვევაში"
"132","ქალი","kali","noun","woman, female","5.948","1110.55","709.57","6.046","5.851","0.7353","0.0929","0","0","ქალი,ქალს,ქალის,ქალები,ქალებს,ქალების,ქალია,ქალმა"
"133","მოსმენა","mosmena","verb","listening, hearing, audition","5.948","1542.12","509.38","6.188","5.707","0.8382","0.0728","0","0","ვუსმენ,მოსმენა,ვუსმენდი,მოუსმინე,მოვუსმინე,მომისმენია,უსმენს,მისმინე"
"134","მიყვარს","miq'vars","verb","to love, to like","5.944","1404.47","550.63","6.148","5.741","0.8235","0.0985","0","0","მიყვარს,უყვარს,გიყვარს,მიყვარდა,უყვართ,მიყვარხარ,უყვარდა,გიყვართ"
